PFF_ID,NAME,TYPE,SUB_TYPE,OWNER,OPERATOR,TOWNSHIP,CARGO,CAP_1,CAP_2,CAP_3,CAP_4,CAP_5,FC_ID,RIVER_ID,ACRES,SOURCE,ACT_1,FCENTER,PORT_ID,LAT,LONG_,CAP_6
PT19,Balzano Marine Terminal,General Cargo,,South Jersey Port Corporation,South Jersey Port Corporation,Camden City,"Cocoa beans, wood, scrap metal, steel, wood products, iron ore, pyrite, & salt",4,"2,655",30-40,"2-25 ton gantry, 1-95 ton multi-purpose, 1-35 ton general purpose",1 million sq. ft.,FC37,,125,"2013 Maritime Exchange, 2014 DVRPC",66,37,19,39.935784,-75.129063,4
PT30,Grows Terminal,Bulk,,Grows Waste Management,Grows Waste Management,Falls Township,"Salt, Gravel, Leachate",,,,no crane reported,,FC8,,28,"2013 Maritime Exchange, 2014 DVRPC",30,8,30,40.13869,-74.756529,0
PT16,Port of Bucks,General Cargo,,Keystone Industrial Port Complex,Kinder Morgan,Falls Township,"Steel slabs, packaged coils, hot rolled coils, rebar, round bar, billets, pipe, beams, plate, used rail, bulk sacks",3,"2,220",38,3- harbor,"208,00 sq. ft.",FC8,,100,"2013 Maritime Exchange, 2014 DVRPC",80,8,16,40.139345,-74.753815,3
PT17,Tioga Marine Terminal,General Cargo,,Philadelphia Regional Port Authority,"Delaware River Stevedores, Inc.",Philadelphia City,"Containers, fresh fruit, paper, plywood, cocoa beans, autos, palletized, project, breakbulk, steel",6,"3,822",36,"2-45 ton gantry, 1-114 ton harbor crane","634,500 sq. ft.",FC15,,116,"2013 Maritime Exchange, 2014 DVRPC",55,15,17,39.97912,-75.083158,3
PT18,Petty's Island,General Cargo,,Crowley American Transport,Crowley American Transport,Pennsauken Township,Ro-Ro containers,,,,no crane reported,not reported,,,51,"2014 Crowley American Transport, 2013 DVRPC",54-56,0,18,39.966433,-75.108994,0
PT23,Broadway Terminal & Broadway Pier 5,General Cargo,,South Jersey Port Corporation,South Jersey Port Corporation,Camden City,"Petroleum, furnace slag, cement, steel, wood products, dolomite, salt, cocoa beans, & other perishables",3,"2,000",35,1-95 ton multi-purpose,1.128 million sq. ft.,FC37,,180,"2013 Maritime Exchange, 2014 DVRPC",21,37,23,39.909816,-75.124367,1
PT20,Gloucester Marine Terminal,General Cargo,,"Greenwich Terminals, LLC","Greenwich Terminals, LLC",Pennsauken Township,"Containers, steel, frozen meat, fruit, heavy lift, & project",5,"2,600",45,"1-45 ton container, 1-30 ton container",16.2 milllion sq. ft.,FC37,,150,"2013 Maritime Exchange, 2014 DVRPC",205,37,20,39.90281,-75.127258,2
PT25,Pier 82,General Cargo,,Philadelphia Regional Port Authority,Horizon Stevedoring,Philadelphia City,"Fruits & vegetables, break bulk, project, paper",2,"1,994",32,no crane reported,"130,000 sq. ft.",FC16,,13,"2013 Maritime Exchange, 2014 DVRPC",52,16,25,39.917794,-75.135895,0
PT13,Pier 84,General Cargo,,Philadelphia Regional Port Authority,Dependable Distribution Services,Philadelphia City,Cocoa beans & other cocoa products,1,855,32,no crane reported,"540,000 sq. ft.",FC16,,14,"2013 Maritime Exchange, 2014 DVRPC",12,16,13,39.915973,-75.135036,0
PT32,Philadelphia Auto Processing Facility,General Cargo,,Philadelphia Regional Port Authority,"Philly Ro-Ro, Inc.",Philadelphia City,"Automobiles, project, heavy equipment",0,0,0,no crane reported,0,FC16,,55,"2013 Maritime Exchange, 2014 DVRPC, 2014 PRPA",0,16,32,39.910566,-75.140491,0
