PFF_ID,NAME,TYPE,OWNER,OPERATOR,START_,END,MILES,TRK_MAIN,TRK_SIDE,TRK_MULTI,TRK_DBL,TRK_WEIGHT,TRK_PLATE,TRK_TRAINS,SOURCE
RL16,USX Running Track,Industrial Track / Shortline,Conrail,"Conrail, CSX, Norfolk Southern",,,5.244575,1,,,n/a,n/a,,n/a,2013 DVRPC
RL14,Keystone Industrial Port Complex,Industrial Track / Shortline,Keystone Industrial Port Complex,Kinder Morgan,,,9.456687,1,,,n/a,n/a,,n/a,2012 DVRPC
RL8,Bustleton Industrial Track,Industrial Track / Shortline,Philadelphia Industrial Development Corporation,East Penn Railroad LLC,,,4.561741,1,,,n/a,No,,n/a,"2012 DVRPC, 2013 Regional Rail LLC, 2013 Conrail"
RL6,Bustleton Industrial Track,Industrial Track / Shortline,Conrail,"Conrail, CSX, Norfolk Southern",,,3.524445,1,,,No,No,,n/a,"2012 DVRPC, 2012 CSX Clearance Maps"
RL17,Morrisville Line,Interstate,Norfolk Southern,"Norfolk Southern, CSX",,,30.236021,1,,,Yes,Yes,,n/a,"2012 DVRPC, 2012 CSX Clearance Maps"
RL7,Chester Secondary,Secondary,Conrail,"Conrail, CSX, Norfolk Southern",,,11.619298,1,,,No,Yes,,n/a,"2012 DVRPC, 2013 CSX"
RL45,Chester Secondary,Secondary,Conrail,"Conrail, CSX, Norfolk Southern",,,0.754246,1,,,No,Yes,,n/a,"2012 DVRPC, 2013 CSX"
RL59,Trenton Subdivision,Interstate,CSX,CSX,,,12.642242,1,,,No,Yes,,n/a,"2012 DVRPC, 2012 CSX Clearance Maps"
RL50,Trenton Subdivision,Interstate,CSX,CSX,,,11.165836,2,,,Yes,Yes,,n/a,"2012 DVRPC, 2012 CSX Clearance Maps"
RL60,Trenton Subdivision,Interstate,CSX,"CSX, Norfolk Southern",,,7.663215,2,,,No,Yes,,n/a,"2013 DVRPC, 2013 CSX"
RL54,Bethlehem Branch,Secondary,SEPTA,"Pennsylvania Northeastern Railroad, SEPTA",,,6.530948,1,,,n/a,No,,n/a,2015 DVRPC
RL23,Perkiomen Line,Industrial Track / Shortline,Regional Rail LLC,East Penn Railroad LLC,,,3.783938,1,,,n/a,Yes,,n/a,"2012 DVRPC, 2013 Regional Rail LLC"
