id,db_name,familiar_name,state,lon,lat
74,"Honolulu, HI","Honolulu, HI",PA,-156.3500552,20.25059948
75,"Houston-Baytown-Huntsville, TX","Houston, TX",PA,-95.76623215,30.13863436
76,"Huntsville-Decatur, AL","Huntsville, AL",PA,-86.76525918,34.63021356
77,"Idaho Falls-Blackfoot, ID","Idaho Falls, ID",PA,-112.8637174,43.83284009
78,"Indianapolis-Anderson-Columbus, IN","Indianapolis, IN",PA,-86.51733664,39.7006242
79,"Jacksonville, FL","Jacksonville, FL",PA,-82.03251613,30.77538678
80,"Jackson-Yazoo City, MS","Jackson, MS",PA,-89.94999799,32.27304521
81,"Johnson City-Kingsport-Bristol (Tri-Cities), TN-VA","Johnson City, TN-VA",PA,-82.21647693,36.79372637
82,"Jonesboro, AR","Jonesboro, AR",PA,-90.48316253,36.0263176
83,"Joplin, MO","Joplin, MO",PA,-94.79364263,37.50385011
84,"Kansas City-Overland Park-Kansas City, MO-KS","Kansas City, MO-KS",PA,-93.99884928,39.37021989
85,"Kearney, NE","Kearney, NE",PA,-99.99374562,40.97346855
86,"Kennewick-Richland-Pasco, WA","Kennewick, WA",PA,-119.7003825,46.38285166
87,"Killeen-Temple-Fort Hood, TX","Killeen, TX",PA,-97.19327938,31.38599825
88,"Knoxville-Sevierville-La Follette, TN","Knoxville, TN",PA,-83.93595567,36.06977153
89,"La Crosse, WI-MN","La Crosse, WI",PA,-90.98285206,43.98659296
90,"Lafayette-Acadiana, LA","Lafayette, LA",PA,-92.13899552,30.59901418
91,"Lake Charles-Jennings, LA","Lake Charles, LA",PA,-93.16357324,30.44421984
92,"Las Vegas-Paradise-Pahrump, NV","Las Vegas, NV",PA,-115.0806402,37.20327657
93,"Lewiston, ID-WA","Lewiston, ID",PA,-115.8060375,46.08770898
94,"Lexington-Fayette--Frankfort--Richmond, KY","Lexington, KY",PA,-83.89197792,37.51001138
95,"Lincoln, NE","Lincoln, NE",PA,-96.79166618,40.4688548
96,"Little Rock-North Little Rock-Pine Bluff, AR","Little Rock, AR",PA,-92.25247418,34.59946092
97,"Los Angeles-Long Beach-Riverside, CA","Los Angeles-Long Beach, CA",PA,-116.9042836,34.80710216
98,"Louisville-Elizabethtown-Scottsburg, KY-IN","Louisville, KY",PA,-85.7533642,38.00118657
99,"Lubbock-Levelland, TX","Lubbock, TX",PA,-101.8188473,33.56209867
100,"Macon-Warner Robins-Fort Valley, GA","Macon, GA",PA,-83.23587685,32.54396875
101,"Madison-Baraboo, WI","Madison, WI",PA,-90.22192968,43.05316304
102,"Marinette, WI-MI","Marinette, WI",PA,-87.08771281,46.23203737
103,"Mason City, IA","Mason City, IA",PA,-93.08591542,43.21463102
104,"McAllen-Edinburg-Pharr, TX","McAllen, TX",PA,-98.12025668,26.39747426
105,"Memphis, TN-MS-AR","Memphis, TN",PA,-89.56720567,35.23665449
106,"Miami-Fort Lauderdale-Miami Beach, FL","Miami-Fort Lauderdale, FL",PA,-80.72112134,26.47416118
107,"Midland-Odessa, TX","Midland-Odessa, TX",PA,-103.3140824,31.51512607
108,"Milwaukee-Racine-Waukesha, WI","Milwaukee, WI",PA,-88.37440583,43.37560143
109,"Minneapolis-St. Paul-St. Cloud, MN-WI","Minneapolis, MN",PA,-94.12264464,45.48619592
110,"Minot, ND","Minot, ND",PA,-101.8617672,48.36738459
111,"Missoula, MT","Missoula, MT",PA,-114.5167553,47.70008907
112,"Mobile-Daphne-Fairhope, AL","Mobile, AL",PA,-87.66415066,31.3782585
113,"Monroe-Bastrop, LA","Monroe, LA",PA,-92.01816981,32.53159291
114,"Montgomery-Alexander City, AL","Montgomery, AL",PA,-86.42452494,32.31000693
115,"Myrtle Beach-Conway-Georgetown, SC","Myrtle Beach, SC",PA,-79.02199248,34.03897095
116,"Nashville-Davidson--Murfreesboro--Columbia, TN","Nashville, TN",PA,-86.56588007,36.16261389
117,"New Orleans-Metairie-Bogalusa, LA","New Orleans, LA",PA,-90.17101147,29.98186275
118,"New York-Newark-Bridgeport, NY-NJ-CT-PA",New York Metro Area,PA,-74.19024243,41.12575727
119,"Oklahoma City-Shawnee, OK","Oklahoma City, OK",PA,-98.9012661,35.71621593
120,"Omaha-Council Bluffs-Fremont, NE-IA","Omaha, NE",PA,-96.19573259,41.31640379
121,"Orlando-The Villages, FL","Orlando, FL",PA,-81.5159259,28.43871077
122,"Paducah, KY-IL","Paducah, KY",PA,-88.44032408,37.03139951
123,"Panama City-Lynn Haven, FL","Panama City, FL",PA,-85.44082886,30.49053312
124,"Pendleton-Hermiston, OR","Pendleton, OR",PA,-118.6078442,45.09930703
125,"Pensacola-Ferry Pass-Brent, FL","Pensacola, FL",PA,-86.73673355,30.6760196
126,"Peoria-Canton, IL","Peoria, IL",PA,-90.41657677,40.64390244
127,"Philadelphia-Camden-Vineland, PA-NJ-DE-MD",Southern New Jersey,PA,-75.2197158,39.46711492
128,"Phoenix-Mesa-Scottsdale, AZ","Phoenix, AZ",PA,-110.3544238,34.24029477
129,"Pittsburgh-New Castle, PA","Pittsburgh, PA",PA,-80.07551957,40.30597527
130,"Portland-Lewiston-South Portland, ME","Portland, ME",PA,-70.14443334,44.69444638
131,"Portland-Vancouver-Beaverton, OR-WA","Portland, OR",PA,-122.3663016,45.361545
132,"Pueblo, CO","Pueblo, CO",PA,-103.7648617,37.57128395
133,"Raleigh-Durham-Cary, NC","Raleigh, NC",PA,-78.60894803,35.56351443
134,"Rapid City, SD","Rapid City, SD",PA,-101.8220745,43.45780832
135,"Redding, CA","Redding, CA",PA,-121.8596146,41.57006002
136,"Reno-Sparks, NV","Reno-Sparks, NV",PA,-117.4496944,40.36714828
137,"Richmond, VA","Richmond, VA",PA,-77.8191314,37.45146262
138,"Roanoke, VA","Roanoke, VA",PA,-80.02087947,37.29511254
139,"Rochester-Batavia-Seneca Falls, NY","Rochester, NY",PA,-77.29705982,42.44395352
140,"Sacramento--Arden-Arcade--Truckee, CA-NV","Sacramento, CA",PA,-121.1892633,39.05665932
141,"Salina, KS","Salina, KS",PA,-99.66966568,39.33354369
142,"Salt Lake City-Ogden-Clearfield, UT","Salt Lake City, UT",PA,-111.505999,39.63872388
143,"San Angelo, TX","San Angelo, TX",PA,-100.641854,31.15625861
144,"San Antonio, TX","San Antonio, TX",PA,-99.47022909,29.43645562
145,"San Diego-Carlsbad-San Marcos, CA","San Diego, CA",PA,-116.7318578,33.03350184
146,"San Jose-San Francisco-Oakland, CA","San Francisco-Oakland, CA",PA,-122.263394,38.7722662
147,"Santa Fe-Espanola, NM","Santa Fe, NM",PA,-105.5972837,35.87544395
148,"Sarasota-Bradenton-Venice, FL","Sarasota, FL",PA,-81.78729133,26.71369475
149,"Savannah-Hinesville-Fort Stewart, GA","Savannah, GA",PA,-81.61210058,32.33005329
150,"Scotts Bluff, NE","Scotts Bluff, NE",PA,-103.2327637,41.94234754
151,"Scranton--Wilkes-Barre, PA","Scranton, PA",PA,-75.73737848,41.521165
152,"Seattle-Tacoma-Olympia, WA","Seattle, WA",PA,-122.412032,47.57123317
153,"Shreveport-Bossier City-Minden, LA","Shreveport, LA",PA,-93.31957537,32.20297767
154,"Sioux City-Vermillion, IA-NE-SD","Sioux City, IA",PA,-97.32262245,42.53507402
155,"Sioux Falls, SD","Sioux Falls, SD",PA,-98.26514995,44.12521759
156,"South Bend-Mishawaka, IN-MI","South Bend, IN",PA,-86.09450784,41.53941643
157,"Spokane, WA","Spokane, WA",PA,-117.2707817,47.83423639
158,"Springfield, IL","Springfield, IL",PA,-90.31138195,39.76465667
159,"Springfield, MO","Springfield, MO",PA,-92.6515881,37.03167307
160,"St. Louis-St. Charles-Farmington, MO-IL","St. Louis, MO",PA,-90.15212974,38.31865089
161,"State College, PA","State College, PA",PA,-78.42446572,40.6735616
162,"Syracuse-Auburn, NY","Syracuse-Auburn, NY",PA,-75.19106088,43.52629827
163,"Tallahassee, FL","Tallahassee, FL",PA,-84.36822541,30.50647031
164,"Tampa-St. Petersburg-Clearwater, FL","Tampa, FL",PA,-82.4064266,28.15408334
165,"Texarkana, TX-Texarkana, AR","Texarkana, TX ",PA,-94.14631238,33.88049796
166,"Toledo-Fremont, OH","Toledo-Fremont, OH",PA,-83.78262426,41.29719443
167,"Topeka, KS","Topeka, KS",PA,-96.33260386,39.11987677
168,"Traverse City, MI","Traverse City, MI",PA,-85.62965328,44.36030104
169,"Tucson, AZ","Tucson, AZ",PA,-110.9596699,31.97381289
170,"Tulsa-Bartlesville, OK","Tulsa-Bartlesville, OK",PA,-95.93961542,36.02818548
171,"Tupelo, MS","Tupelo, MS",PA,-88.71904643,34.14707958
172,"Twin Falls, ID","Twin Falls, ID",PA,-114.1490285,42.8479452
173,"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk, VA",PA,-76.50906366,36.4123504
174,"Washington-Baltimore-Northern Virginia, DC-MD-VA-W",Washington DC Metro Area,PA,-77.5545216,39.06213875
175,"Waterloo-Cedar Falls, IA","Waterloo-Cedar Falls, IA",PA,-92.28306953,42.62944869
176,"Wausau-Merrill, WI","Wausau-Merrill, WI",PA,-89.94208658,45.65508878
177,"Wenatchee, WA","Wenatchee, WA",PA,-119.7047174,47.86372035
178,"Wichita Falls, TX","Wichita Falls, TX",PA,-99.58300741,34.07752663
179,"Wichita-Winfield, KS","Wichita-Winfield, KS",PA,-98.81813396,37.80624916
241,Yukon,Yukon,PA,-135.5045797,63.63215911
242,Northwest Territories,Northwest Territories,PA,-118.9955771,66.35829408
243,Nunavut,Nunavut,PA,-88.87258893,71.03934503
34005,"Philadelphia-Camden-Vineland, PA-NJ-DE-MD","Burlington County, NJ",PA,-74.66994161,39.87852606
34007,"Philadelphia-Camden-Vineland, PA-NJ-DE-MD","Camden County, NJ",PA,-74.96346624,39.79446628
34015,"Philadelphia-Camden-Vineland, PA-NJ-DE-MD","Gloucester County, NJ",PA,-75.14893139,39.71263853
34021,"New York-Newark-Bridgeport, NY-NJ-CT-PA","Mercer County, NJ",PA,-74.69956091,40.28230807
42017,"Philadelphia-Camden-Vineland, PA-NJ-DE-MD","Bucks County, PA",PA,-75.10570894,40.33547939
42029,"Philadelphia-Camden-Vineland, PA-NJ-DE-MD","Chester County, PA",PA,-75.7447747,39.97421237
42045,"Philadelphia-Camden-Vineland, PA-NJ-DE-MD","Delaware County, PA",PA,-75.39729832,39.91341906
42091,"Philadelphia-Camden-Vineland, PA-NJ-DE-MD","Montgomery County, PA",PA,-75.36615683,40.21026861
42101,"Philadelphia-Camden-Vineland, PA-NJ-DE-MD","Philadelphia County, PA",PA,-75.134954,40.00572168
